"AREA","SAREA","TIPO DE REACTIVO","GRUPO","CLAVE","ESPECIFICACION","PROCESO","RESPUESTA","DIF","COR","B","A","C","TC","TRI","COV"
"LECTORA","HLAP","P",10048,10048,,,,,,,,,,,
"LECTORA","HLAP","RA",10048,10727,"APET211","Extracción","B",57.6,0.186,0.222,0.562,0.199,"R","A",1.515
"LECTORA","HLAP","RA",10048,10734,"APCM303","Interpretación","A",57.8,0.097,0.571,0.374,0.234,"R","R",0.908
"LECTORA","HLAP","RA",10048,10752,"APEF114","Reflexión","A",41.1,0.202,1.241,0.802,0.166,"A","A",2.026
"LECTORA","HLAP","RA",10048,10755,"APEF309","Reflexión","D",69.2,0.204,-0.918,0.649,0.163,"A","A",1.232
"LECTORA","HLAP","RA",10048,11213,"APET313","Extracción","C",61.9,0.327,-0.283,1.258,0.12,"A","A",2.09
"LECTORA","HLAP","RA",10048,11220,"APIN104","Interpretación","B",21.7,0.132,2.282,1.325,0.144,"R","R",1.001
"LECTORA","HLAP","RA",10048,11223,"APEX101","Extracción","C",48.6,0.285,0.718,8.126,0.328,"A","A",1.778
"LECTORA","HLAP","RA",10048,11235,"APIN206","Interpretación","C",56.6,0.358,-0.072,1.415,0.098,"A","A",2.632
"LECTORA","HLAP","RA",10048,11238,"APET110","Extracción","A",77.8,0.241,-1.193,0.981,0.192,"A","A",1.586
"LECTORA","HLAR","P",10071,10071,,,,,,,,,,,
"LECTORA","HLAR","RA",10071,10073,"ARET102","Extracción ","C",74.1,0.225,-0.86,0.878,0.245,"A","A",1.473
"LECTORA","HLAR","RA",10071,10075,"ARET203","Extracción ","D",48,0.207,0.815,0.723,0.173,"A","A",1.589
"LECTORA","HLAR","RA",10071,10077,"ARCM105","Interpretación","C",68,0.186,-0.584,0.759,0.206,"R","A",1.537
"LECTORA","HLAR","RA",10071,10080,"ARCM206","Interpretación","B",45,0.191,1.294,0.96,0.254,"R","A",1.306
"LECTORA","HLAR","RA",10071,10082,"ARCM307","Interpretación","C",56.5,0.339,0.276,1.886,0.248,"A","A",2.224
"LECTORA","HLAR","RA",10071,10520,"ARET101","Extracción ","C",34,0.185,1.705,1.751,0.252,"R","A",1.422
"LECTORA","HLAR","RA",10071,10526,"ARET304","Extracción","B",54.9,0.197,0.465,0.86,0.229,"R","A",1.258
"LECTORA","HLAR","RA",10071,10539,"ARIN208","Interpretación","B",51.4,0.277,0.835,2.055,0.336,"A","A",1.795
"LECTORA","HLAR","RA",10071,10540,"AREC210","Reflexión","D",48.8,0.335,0.373,1.306,0.133,"A","A",2.151
"LECTORA","HLAR","RA",10071,10542,"AREC311","Reflexión","D",24.5,0.12,2.834,0.864,0.158,"R","R",0.825
"MATEMÁTICA","HMCAT","RS",10515,10515,"CATSNRP01","Reproducción","B",65.7,0.397,-0.186,1.787,0.232,"A","A",2.287
"MATEMÁTICA","HMCAT","RS",10423,10423,"CATOPRP02","Reproducción","D",37.7,0.512,0.487,2.821,0.052,"A","A",2.291
"MATEMÁTICA","HMCAT","RS",10359,10359,"CATOPRP03","Reproducción","D",31.2,0.488,0.856,3.653,0.114,"A","A",2.275
"MATEMÁTICA","HMCAT","RS",10236,10236,"CATOPRP04","Reproducción","B",36.4,0.239,1.561,1.953,0.271,"A","A",1.254
"MATEMÁTICA","HMCAT","RS",10968,10968,"CATOPRP05","Reproducción","D",31.4,0.315,1.3,1.728,0.162,"A","A",1.554
"MATEMÁTICA","HMCAT","RS",10432,10432,"CATSMRP06","Reproducción","B",45.9,0.201,1.364,1.92,0.353,"A","A",1.218
"MATEMÁTICA","HMCAT","RS",10793,10793,"CATSMRP07","Reproducción","C",43.5,0.351,0.831,1.995,0.226,"A","A",2.006
"MATEMÁTICA","HMCAT","RS",10412,10412,"CATSNCO08","Conexión","B",61.3,0.289,-0.299,0.959,0.123,"A","A",1.547
