x1,Version_1,Version_2,Version_3,Version_4
-3.0,8.76,9.31,9.25,9.8
-2.9,9.04,9.62,9.59,10.15
-2.8,9.34,9.95,9.97,10.54
-2.7,9.66,10.32,10.37,10.95
-2.6,10.01,10.71,10.81,11.4
-2.5,10.4,11.14,11.28,11.89
-2.4,10.81,11.61,11.8,12.41
-2.3,11.25,12.11,12.35,12.98
-2.2,11.73,12.66,12.95,13.58
-2.1,12.24,13.24,13.59,14.23
-2.0,12.8,13.87,14.28,14.92
-1.9,13.39,14.55,15.02,15.65
-1.8,14.02,15.27,15.8,16.43
-1.7,14.69,16.04,16.64,17.25
-1.6,15.41,16.86,17.52,18.12
-1.5,16.18,17.72,18.45,19.02
-1.4,16.99,18.64,19.43,19.97
-1.3,17.84,19.6,20.46,20.96
-1.2,18.74,20.62,21.53,21.98
-1.1,19.69,21.67,22.64,23.04
-1.0,20.68,22.77,23.8,24.13
-0.9,21.71,23.9,24.98,25.25
-0.8,22.79,25.07,26.19,26.4
-0.7,23.91,26.28,27.43,27.56
-0.6,25.06,27.5,28.69,28.74
-0.5,26.25,28.75,29.96,29.94
-0.4,27.47,30.02,31.24,31.14
-0.3,28.71,31.29,32.52,32.35
-0.2,29.97,32.57,33.8,33.55
-0.1,31.26,33.85,35.07,34.76
0.0,32.55,35.12,36.33,35.95
0.1,33.84,36.38,37.56,37.13
0.2,35.13,37.62,38.78,38.3
0.3,36.42,38.84,39.96,39.45
0.4,37.69,40.03,41.11,40.57
0.5,38.95,41.19,42.23,41.66
0.6,40.18,42.31,43.31,42.72
0.7,41.38,43.4,44.35,43.75
0.8,42.54,44.45,45.35,44.75
0.9,43.67,45.45,46.3,45.7
1.0,44.75,46.41,47.21,46.62
1.1,45.79,47.33,48.07,47.5
1.2,46.79,48.2,48.9,48.34
1.3,47.73,49.02,49.67,49.13
1.4,48.63,49.8,50.41,49.89
1.5,49.47,50.54,51.1,50.6
1.6,50.27,51.23,51.75,51.28
1.7,51.01,51.88,52.36,51.91
1.8,51.71,52.49,52.93,52.5
1.9,52.37,53.06,53.47,53.06
2.0,52.98,53.58,53.97,53.58
2.1,53.54,54.08,54.43,54.07
2.2,54.07,54.54,54.87,54.52
2.3,54.56,54.96,55.27,54.94
2.4,55.01,55.36,55.65,55.33
2.5,55.42,55.72,56.0,55.69
2.6,55.81,56.06,56.32,56.03
2.7,56.16,56.37,56.62,56.34
2.8,56.49,56.66,56.89,56.63
2.9,56.79,56.93,57.15,56.89
3.0,57.06,57.17,57.39,57.14
